,color,review,review_of_text,review_title,style_name,verified_purchase
10,Blue,"After thinking a lot, I decided to go ahead with iPhone 12. The original price is ₹ 84900. After credit card discount(₹6000), old phone exchange(₹3450) and reward points money(₹4530) inclusion, I bought it for ₹70920. There’s also an additional 3000 discount on red and white variants but I couldn’t let go of blue

1. PRICE: Considering iPhone 11 would be supported by iOS for 4 years, based on the current price it’d cost 13k per year and iPhone 12 for 5 years would cost 14.9k(excluding exchange discount) per year. For me price gap for both phones didn’t seem to make a huge difference as IPhone 11 is already an year old and costing only a 2k less per year.

2: DISPLAY: I’ve purchased iPhone 11 for my mom last year and been observing the display for some months. Compared to iPhone 11, the iPhone 12 display is far superior and has better pixel quality.

3: BEZELS: the bezels of iPhone 12 are much thinner and makes the phone look decent unlike in 11. Apart from this, the phone is incredibly light making it easy to hold it.

How to choose between 64/128gb:
If you’re not really tight on budget, I’d suggest to go for 128gb variant. I’ve been using one plus for 1.5 years and storage occupied about 60gb. So it’d make good sense to check your current phone usage. Either way you can also opt for iCloud 50gb storage which would cost approximately the difference amount of 64 and 128 go for 5 years.

CONS:
1. Could have definitely included the charger for the price
2. If you’re an android user, migration would be little time consuming

Update: I’ve uploaded a couple of pictures shot using automatic night mode. :)",Reviewed in India on 24 December 2020,How to decide between iPhone 11 and 12,128GB,Verified Purchase
11,White, Bad experience! I have purchased Iphone from Amazon before as well but this time the activation of new iphone 12 failed when I was setting it up. I tried contacting Apple support but the serial number mentioned on the box was invalid. I really don't know if it is a counterfeit product or there is some technical issue but one thing is sure that Apple's Website is not recognising the IMEI and serial Number of new Iphone 12 I bought from here,Reviewed in India on 24 June 2021,"Activation Failed, this product was not recognized by Apple official website.",128GB,Verified Purchase
12,White,"Same like the old classic iphone 5 look
But now difference is only
6.1 inch display or The A 14 bionic chip
And oled Hd display",Reviewed in India on 7 November 2020,No one can better do iphone is iphone,128GB,Verified Purchase
13,White,"1st thing is there is no USB adapter
I.e. u need to buy adapter and it will cost u around 500
Also no Earphones
Apple has became very worse",Reviewed in India on 28 January 2021,No USB,64GB,Verified Purchase
14,Blue," Purchased on 15th July return and replacement period is closed on 22nd July
1. Hardware issue
Speaker problem
Phone gets hang
Keypad vibration and sound issue
Restart issue it will take long time
2. Software issues
3. Camera defect",Reviewed in India on 3 August 2021,Don't purchase costly phones when there is a sale,64GB,Verified Purchase
15,(PRODUCT)RED,I purchased new apple iphone12 with exchange of my samsung m31. from day1 while charging the body is conducting electricity .replaced chargers but still same issue. cross checked earthing of home-it is fine . then contacted apple support . they told me to get a replacement from the seller but amazon is just avoiding to replace. they asked emails proofs of case id of apple support. I provided them but still they are not assuring replacement . They sell defective products and do not replace. THIS IS DISGUSTING,Reviewed in India on 11 July 2021,Apparaio Retail & Amazon doing absolute frauds with customers,128GB,Verified Purchase
16,Black,"I am writing this after a week of my usage with this iPhone 12. I have had the X before and OnePlus 6T as well.

Overall experience of switching to iOS again is so good. The Interface, the speed, smoothness, camera, support, and everything is so well crafter.

I’ll be talking about the pros and cons with respect to the apple standards of course.

Pros:
1. The design is absolutely wonderful, its very very light weight and premium feeling phone with vintage boxy look.
2. The speed, the performance.
3. Camera of course. The normal picture comes out pretty good, they don’t usually need any professional touch.
4. Battery life - I’ll talk about the battery life in day to day life instead of nerdy Screen On Time. I am a doctor and usually don’t play much games on this but I surf web a lot, youtube videos, social media and a lot of WhatsApp and sometimes heavy use for 10% of the time. It can get through one day pretty easily with around 8-9 hr Screen on time, 10hr Stand by time, so you can relate now. Don’t believe that it has bad battery, it has a pretty good battery.

Cons
Nothing much until now.
The back of the phone is fingerprint magnet, attracts a lot of them.
Another concern was the charging adapter which is not provided in the box.",Reviewed in India on 8 November 2020,One beast of a phone.,128GB,Verified Purchase
17,Blue,"Positives: Very fast, Picture Quality, video quality seems superb, less charging time required.
Cons: Shorter battery life than specified and expected.",Reviewed in India on 7 November 2020,iPhone 12 review,128GB,Verified Purchase
18,Blue," Dear Team,

Please be informed that I am very dissatisfied by the services provided by Amazon buying this much expensive mobile from Amazon is not worth I believe they always provide us the defected item I recently purchased I phone 12 and it is creating a problem while switching on had to try multiple times for the same and this problem occurs every time whenever I switch off the mobile last time also the same issue occur when I bought my One plus 08 there was issue related to camera image was getting blurred each time and then I have to replace it I think Amazon just sell defected items I am very angry and wil take it forward because it's second time in a row and will never suggest any one to buy mobile especially from Amazon and also want to post the review about this on social media",Reviewed in India on 1 June 2021,Very poor service especially related to buying mobile,128GB,Verified Purchase
19,Black,"I went through a lot of reviews and articles before I decided on the iPhone 12. I’ve been an Android user all my life and frankly thought Apple phones were really overpriced(at least here in India). But in the present day, the flagship Android options are no less expensive.
If you spend a lot of time on your mobile, using it as your primary camera, social media device, business emails/collaboration and also to stream videos then you definitely need to spend a little more and go with a flagship option for the best experience.

Coming to the flagships today (Aug2021), apart from the iPhone we have Samsung Galaxy S21/+/ultra, Oneplus 9 pro, Vivo x60 pro+, mi 11ultra. If you read a few reviews you’ll understand that 888Snapdragon has a lot of heating issues and 9pro cameras didn’t live up to the hype(also overheating when the camera is in use). Samsung in India ships the phone with exynos2100 which is way less powerful than 888. The prices of all these phones are in the same range (except the ultra). Imp note: iOS updates are across iPhone devices unlike the android updates.

Apple has really done a lot of things right on the iPhone12:

1. They changed its display from lcd to led (huge value jump)
2. A14 Bionic chip is a really fast and smooth without any lag
3. Huge improvement on the primary cameras. Still the best video recording phone in the market and the photos are top quality
4. The change is the body design is really comfortable in the hand
5. The haptics are spot on

What’s Missing: (Minor misses though)
1. The Notch. Really wish they get rid of the notch but looks like it wont be out until 2023. Anyway you’ll get used to it.
2. USB type C charging. The iPad Pro 2020 model onwards already comes with the TypeC usb charging. I guess the iPhone 13 would get this change
3. Fingerprint Sensor: Yes. Apple had done away with it couple of years back but with the pandemic still on, you sometimes wish there was a fingerprint sensor

Wait for the iPhone 13 or go with the 12:
It took a while for 12’s prices to fall. If you’re willing to wait till Feb-March 2022 for a good deal then wait for the 13. If you want to change it now, go with the 12.

64GB or 128GB:
The difference is around ₹6000. 64GB if you don’t play too many games and keep dumping the media files every once in while to your pc/storage . Else, the 128😊

Battery:
I was indeed very surprised with the battery life. Charging time is a little slower compared to it’s competition but the back up is impressive. It easily lasts a day.

Android Flagship Option:
The truth is, right now is not a good time to purchase an android flagship. If you really want to buy an android flagship, do wait for a while. 895 snapdragon phones are expected to be out by end of the year or early 2022.

Hope this review helped :)

Update:

13 gets a better cam sensor, a15 bionic, 10% bigger battery and a slightly smaller notch. That’s it. No more differences. Everything else remains the same.

iPhone 13 launched at 80k which is lesser than 12’s launch price(86k). If you want to save on some cash , 12 will still do the job (12 is currently around 55k-62k). However if you can spend that extra 20k, then 13 should be your pick.

Planning on taking an Android? Definitely wait until early 2022.",Reviewed in India on 4 August 2021,Confused? Read on! One stop review for your flagship purchase.,128GB,Verified Purchase
20,Black,"When the iPhone 11 prices were announced, I was in a dilemma whether to go for the 11 or wait for 12. And since it was my first iPhone, I thought why not get the 12. The logic being: The phone will last for a couple of years (provided you don't drop it often), and if you are looking for a phone for a long time horizon, then go for the 12. This one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the future.
All technical specs are really good, display is an OLED one, even visible in extreme sunlight. Build quality is miles apart, my brother uses a Samsung Galaxy Note 10+, and holding this one is way way out of the leagues of all the android phones. Processor and RAM are capable of even running multiple intensive applications, I had Adobe LightRoom, iMovie, and a couple of apps open, all to slide between them seamlessly. The trick here is that since apps are only made for a very few iPhones and iOS versions, these apps are hardware integrated, hence work better. A classic example is Instagram. Instagram does feel a bit more polished on the iPhone than android. FaceID even works when there's no light, so thats that. But it can't identify you with the mask, you're left to the PIN when you're in the outside.
The Battery: Yes it has a smaller battery, yes with intensive use it will run out in a day, but if you are a bit prudent with it, it'll definitely last for more than a day. I use 4G in between, outdoor photography a bit, editing, email, Apple Music, Youtube, WhatsApp and Instagram. By the end of the day (7:00 PM) , I usually have 40 percent remaining.

So yes, its an iPhone and yes its really something nice to hold and use daily.",Reviewed in India on 14 November 2020,For first time iPhone Users,128GB,Verified Purchase
21,White,"From owner POV, It's completely different experience for me as I've come from a long line of android platform. But the UI is very attractive. I think it surpassed my expectations as a consumer. But as a rational thinker, 79k is a lot for a phone which carry a little amount of specs ships. I'm lucky that I have a Amazon business account, so getting a GST bill.

As per the limitations :

1. 60 Hz display (with the beautiful UI animations, it doesn't feel like one)
2. Google exceeds on Maps, contacts and AI capabilities.
3. Hefty price tag. (I mean! Wtf is this! 80k! Are you serious?)
4. Necessity of a 1900 INR charger (That too of 20W and without extra cable. Why?)
5. One sillicon case worth 4600 INR ( Sorry! My name's not Sanjib 'Ambani' ! Terrible joke! I know! I left my sarcasm capabilities at an Apple store for leverage.)

Advantages:

1. It's a flagship iPhone 12 with A14 bionic processor and it's best in the market.
2. The UI and the optimization (And I came from an Android background.)
3. Display (Can't find much difference if you're a Samsung flagship user.)
4. The design and in-hand feel.
5. The build quality, you can feel by holding it that it's premium.

Overall, I found it very attractive and worthy of the money spent. (Because I am telling my mind this only as justification for a 80k expenditure)

On a serious note, as coming from an Android background, if Samsung could launch a flagship with Snapdragon latest processor, I could think of buying that.
But iPhone 12 in 2020? its a technological wonder. It's very slim, premium and beautiful.
If you're comfortable to spend 80k, you should go for it for a wonderful experience.",Reviewed in India on 22 January 2021,"READ before BUY ! ""Iphone 12! Worth buying or not?""",64GB,Verified Purchase
22,Blue,in a day use it starts hanging just using whatsapp and instagram on it and its hanged ... worst experience,Reviewed in India on 5 January 2021,hang problem,64GB,Verified Purchase
23,White,"Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.

Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.

And

iPhone in white color is legend.

Update after 1 month approx.
-----------------------------------
After using it for a month I am in love with this phone. Too smooth and I forgot what is lagging...

Battery backup is very good and lasts one and half day easily with normal usage. I charge my phone when the battery is around 30%. Battery health is 100% after a month.

Camera is awesome and gives very nicely detailed pictures with true colors.

Phone speakers are really great and warm. They are loud but don't shout. Listening music or watching videos are enjoyable without earphones too.

4G speed better than other 4g phones I have.

Worth every penny.",Reviewed in India on 8 November 2020,What a Phone. Its iPhone,128GB,Verified Purchase
24,Black,Price is high and packing is torn and scratched,Reviewed in India on 22 December 2020,Bad quality,128GB,Verified Purchase
25,White,"Device is wonderful but never buy expensive items from Amazon, its better to purchase from Apple store.
Delayed delivery by 3 days and on top of it no one in amazon knows where my device was. I have to perform multiple follow ups to enquire about my device and Amazon CSR is worst when it comes to logging a complaint.
The final product received is having a dent and Amazon denied servicing and asked to check with Apple, Apple of-course denied since the product is purchased from third party e-commerce website.
Lesson learned after 5 days of total frustration and being played as shuttlecock between Amazon and Apple, its better to spend few bucks more and purchase iPhone from Apple rather than typing this review with a dented device.",Reviewed in India on 8 August 2021,Never buy expensive items from Amazon,128GB,Verified Purchase
26,White,"Okay I NEED TO CLEAR a few misconceptions about this phone because i am seeing a lot of negative reviews here which are not true, probably from IOS haters. I have been an android user since 2014 when I got my first phone, after many years i switched to Apple after complaining about their high prices because i was disappointed with Samsung using Exynos processors for their flagship phones in India which causes heating, and Oneplus throwing one cheap model after another every six months.
And trust me guys its amazing. The software is butter smooth, i might never go back to android again. FIRST OF ALL - who said the battery life is bad? I got my phone at 70 percent charge at 2 pm and after 24 hours it was 20 percent EVEN AFTER I KEPT MY DATA PACK ON THE WHOLE TIME.
SECONDLY- why are so many guys reviewing the phone on basis of the charger? everyone knows iphone 12 comes without an adapter. did you people not do your research before buying?
THIRD - the 60 Hz thing does not matter at all, flipping screen is real quick u wont even notice the difference from a 120 Hz in android
and lastly - the AI is so sharp, be it the camera which automatically detects low light or even the face recognition.

overall this phone is worth the high price. i will definitely be using it for 4-5 years. a happy customer here",Reviewed in India on 5 December 2020,Perfect replacement for a long time android user,256GB,Verified Purchase
27,Blue,They called ceremic shield but it’s not for scratchless!!!!! I have so many scratches in my phone.......pls use tempered glass for protection of scratches!!!!!,Reviewed in India on 2 December 2020,Wrost part of ceremic shield,128GB,Verified Purchase
28,Blue,"Pros:
there are 1000s of blog for pros

Cons:
Apple has to work to improve their battery life
Charger ! Charger ! Charger ! If apple really cares about environment so much then they must deliver a phone once in 3 years. Or, give the users a usb c.

Don’t rely on their screen advertising. Use a cover. Glass is still a glass and you can observe scratches after a month of usage.

5g isn’t for India, still price in terms of dollars was same!",Reviewed in India on 14 December 2020,Apple .....bas always been just apple.,128GB,Verified Purchase
29,Blue,"Android v/s iOS

Pro Apple
1. Tons of privacy features and solid implementation. Every new app installed needs permission to send notifications.
And with a future update, facebook won't be able to track what you're doing in other apps outside of Facebook. This deserves an applaud.

2. Battery
The battery is amazing, giving more than 6 hours of screen on time. OnePlus can't touch this. If you bring this up with them, they'll distract you by saying it has fast charging.

3. Camera - photos are ok and decent BUT, DAMN, the video quality is amazing. Totally stabilized ready for uploads.

4. Build Quality - SOLID.

5. Continued updates for years and years. An android may last you 2-4 years, and the updated would be ""raam bharose"", but these new iphones especially will easily last 5 years minimum with no compromises on software and security upgrades.

6. Less features, but they work 10/10. Example, auto fill OTP option in keyboard works every single timein iPhone. In Android, if your keyboard is open already before the otp arrives, then this feature won't work. Half baked implementation.

Pro Android / Anti - iOS
1. Notifications. Notifications centre on iPhone SUCKS. I have missed email notifications regularly. Android does this so well.

2. Implementation of new app library feature sucks. This creates a very confusing situation. The way to solve this would be if the auto-folders in app library could be manually managed.

3. Screen Sizes and Notch - The Notch is a disgrace for iphones when the iphones have reached the level of punch hole displays. Hoping the next year's model can make it better.

4. No Truecaller in iPhone and no call recording. I can forgive the call recording considering the privacy first model, but truecaller is a pro to privacy.

5. CHEAP QUALITY OF CHARGING CABLE. For a luxury brand, this is a disgrace.

6. PRICE - Yes, iphones are expensive BUT, paying +10-15k for a phone available cheaper in Dubai / USA really pinches. Damn Taxes.

7. Yes iPhones run smoothly but don't think that these don't stutter. I face very light stutters now and then and I restart at least once a week whenever I encounter it.

I'll probably give this phone to my family member against their iPhone x since they're way too deep in ios ecosystem now.",Reviewed in India on 24 March 2021,I miss my OnePlus 6,128GB,Verified Purchase
30,Green,"(Long user of both iOS & android)
Review after 10 months of use.

This pastel green is a treat to the eye

A14 bionic chip is a boss.
Easily compete with 1 year newer snapdragon chips in gaming & thermal management.

Camera ISP of apple are under appreciated

- Video recording performance is unmatched.
(Though there are better androids for still clicks/zoom like pixel & galaxy)

Much lighter than older 11, XR & XS series.. in weight & volume. Easy to grip!

- You don’t know the pain of owing an iphone until you break it’s screen. (No experience though xp)
So ceramic-hardened display is a nice add!

Considering iphone 13 are out u can grab 12 at a price drop 😌
If camera is most important, go for 13 eyes closed (much larger physical sensor)

Evaluate Price to value ratio^

Pros :
5nm chip (thermals, efficient)
Face ID (but pain during pandemic)
Good speakers
A14 (only 2 to 3 app on the entire app store that push the gpu to its limit)
OLED (for apple it’s still a feature lol)
Build to last
Holds value
Lags only once a years (pun intended) 😂
Finally good battery life.
Top 99% in silicon & camera among all phones.
5 year OS/security updates
Starting 12 series apple uses Qualcomm modems instead of trash intel ones (good signal)

Cons:
4GB RAM, really apple?
(Supper smooth but doesn't hold when keeping multiple heavy apps open at once)
iOS lacks customisation & consumes a lot of data than android for similar tasks on cellular.
No 120hz
Not price friendly at launch (not gonna make a kidney joke..)
Indian taxes aside apple still exploits pricing.

To sum it up, u will cherish this purchase!
Skip 11 or below… if not sure hold on till iphone SE 3 with A15 ..might launch in 2022.

Show some love if you find it helpful. Thanks💛",Reviewed in India on 3 December 2021,iphone 12 | Long term honest review 🧞‍♂️✨,128GB,Verified Purchase
31,Blue,"First of all, I don't know why people here are leaving misleading reviews, I didn't feel any sort of heating issue or something like that, neither my phone is damaged nor it is refurbished. These sort of reviews are only making other people sceptical.

Now let's talk about the cell phone itself.
It is great, I love it. The reason why I gave 3 stars is because I have been an android user before this device and I am being honest right now :-

iOS sucks in terms of user experience, Android is easy to use and makes a lot of sense (believe me, I was a hardcore android user, I didn't only use it for playing games and making calls). In iOS I kinda feel like being constraint.

let me give you few example, which are quite obvious but still not in iOS:-
1. Notifications
- You can't reply through notifications.
- Notifications from a similar user/ sender do bundle, but you can only see the latest message (You can't just swipe down on notification to preview the messages)
- if you want to remove a particular notification then you have to swipe two times to the left. If you swiped right then it will open the message for you (lol).
- Notifications are so huge, sometimes it's really painful to scroll through all the notifications.

2. App library
- It has something called app library, they thought it'd be cool to make one but by giving their own flavor. They bundled things in their respective folder not like in android where each icon represent an app. You have to explicitly click on search(app library) to see all apps in the list view or to search an app. Just copy android, no one is slapping you in the face for that.

3. whatsapp
- Using whatsapp is really frustating sometimes.
- To send some media to a contact, there are three processes. Two times it will do preparing and then one time it will do the sending (finally). if you are sending some big media to someone then you can literally get a 15 min power nap and then grab a cup of coffee and drink it, still there might be chances that the iOS would be in one of the preparing process.
- Sometimes when you click on someone's profile then instead of opening the user's profile, whatsapp tends to scroll to the location from where that current day chats are starting (I think that is whatsapp's issue not iOS)
- You can't directly send any media as a document (preserving it's quality). There are steps to do that too.

The above points are few examples, I will keep updating them as per my experience.

I am not saying iOS is slow or the phone's hardware is bad, it's actually quite opposite of bad, it's fast and amazing.
I just hated the user experience domain of iOS. It really really sucks. iOS should bluntly copy the android things so that the HARDCORE IPHONE USERS will know what user experience they were missing.",Reviewed in India on 23 July 2021,Phone is great but iOS sucks,64GB,Verified Purchase
32,Blue,The item looks to be defective and I really doubt that it’s a refurbished / seconds / faulty device sold by the dealer. I had put up for replacement but I don’t know it doesn’t shows pick up. It’s showing replacement possible till 01 Mar 21 but not showing and date of collection.,Reviewed in India on 26 February 2021,DEFECTIVE / REFURBISHED IPHONE,128GB,Verified Purchase
33,Green,Phone is heating up a lot while shooting a Video and playing a Game even very much difficult to hold such a hot. Some of the function not at all working like Call forwarding morning I have forwarded my call to other number and evening I am trying to turn it off but I am unable to enter into the function at all it rotating from past 2 Hours. Please I recommend not to purchase this Phone at all. It is totally a waste of money. Even security features like face unlock is automatically getting canceled out.,Reviewed in India on 16 April 2021,Worst Phone ever in my life,128GB,Verified Purchase
34,Black,"I am writing this after 4 days of extensive use. Phone is good but as comparing to picture quality most premium phones have better than this one. And one more important thing if you are purchasing it through Amazon then replacement/return policy doesn’t apply here directly with amazon, you have to contact Apple for any sort of issue. Even if the phone is 1 day old.",Reviewed in India on 4 April 2021,If selling a product the take the ownership end to end.,64GB,Verified Purchase
35,(PRODUCT)RED,"Pros
Very good build quality
Light Weight
Fits in hands perfectly (even though it is 6.1 inch)
Excellent Display
Dolby Vision HDR video recording
Amazing Camera
Smooth performance for Everthing
5G
Well optimized Software
Face Id works perfectly even in dark room
Wireless charging

Cons
Only 18W charging
No charger in the box..If this is environment friendly why are they selling it separately on website
No clear case in the box..(it would have been a complete package)
No type C to type C connector
Slightly expensive (it should have been around 70k)",Reviewed in India on 4 January 2021,iphone 12 from Apple ...an environment friendly company,64GB,Verified Purchase
36,Blue,"Really happy with the purchase. But 2x zoom missing does make a little difference. Performance, Display, camera and battery are on point and that what matters the most to me. I was planning on buying the pro model but this year it was insanely expensive. So Bought this and saved some money for decent accessories. The value for money is great for the 128gb version.",Reviewed in India on 14 November 2020,Decent buy.,128GB,Verified Purchase
37,Purple,"The overall feel of the iPhone is very good. The weight of the phone is light & comfortable & size too for daily use. The screen, colours & image quality is unmatched. The colors on camera & photo are natural. Fingerprint reading & facial recognition is superb & very quick & highly accurate.",Reviewed in India on 16 July 2021,"Unmatched Quality, Simple & Powerful",128GB,Verified Purchase
38,Blue,"Worst camera and graphics if you compare pubg in oneplus mobiles and this phone, this phone’s graphics was worst like oppo phone graphics. And coming camera compare to this phone oppo is better phone than this. If apple continue like this this oneplus will lead the market.",Reviewed in India on 26 December 2020,"Worst Camera, Performance is not that fast",128GB,Verified Purchase
39,Blue,"The product you delivered actually not value for money, dent products which I can't identify were apple authorized person
Detected and found dent and they denied my service under warranty, very bad product delivered and after service also not satisfying, look like refurbished product delivered to me. Will go for consumer court to satisfy the complaint.",Reviewed in India on 8 April 2021,Fault quality product delivered,128GB,Verified Purchase
